"ng-binding","ng-binding 2","ng-binding href","ng-binding src","ng-scope src","ng-scope","ng-binding 3","ng-binding 4","ng-binding 5","ng-binding 6","ng-scope src 2","ng-binding 7","ng-binding 8","ng-binding 9","ng-binding 10","ng-scope src 3","ng-binding 11","ng-scope src 4","ng-scope src 5","ng-scope src 6","ng-scope src 7"
"154","寶貝豬","https://pigfarmmix.net/#/pig/154","https://pigfarmmix.net/png_h/bd01aaad68c919f0eb1f289782ad32f6b7345dde98ea34453bd6ca2449a1c1d820251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","3","0 小時","58 分鐘","18 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁6#3]","≤ 125.7 kg","≥ 173.5 kg","1800 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"155","怪盜豬","https://pigfarmmix.net/#/pig/155","https://pigfarmmix.net/png_h/280aa3e716cb0e8e19ed1a3fea969fb78de49b1ebaf2e4cef566dd4288cd0f3e20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","5","60 分鐘","1 小時","16 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁6#5]","≤ 134.9 kg","≥ 198.1 kg","5000 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"156","特羅普利豬","https://pigfarmmix.net/#/pig/156","https://pigfarmmix.net/png_h/d3b978aba02ac2f38ca92127d66cca3dd2fa66da2d7e1ed6224fa16dad168e7d20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","8","0 小時","58 分鐘","32 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁5#6]","≤ 138.9 kg","≥ 202.5 kg","7500 pt","https://pigfarmmix.net/png_h/a8c431ef04e348d579dbea87991cab0dadc22df86edf1920a8c8e76335bd820c20251013.png","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"157","繆福特豬","https://pigfarmmix.net/#/pig/157","https://pigfarmmix.net/png_h/6008c69e3c0551c8979bae0170ed920e2332ea235d6a791b267c0f7fe488247a20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","4","0 小時","58 分鐘","18 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁6#6]","≤ 130.6 kg","≥ 186.5 kg","5500 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"158","阿拉帕瓦豬","https://pigfarmmix.net/#/pig/158","https://pigfarmmix.net/png_h/13dc8da0ca8820a502425724c2f4dcb7554223bbd7aeb924b898650a8675f4eb20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","7","0 小時","58 分鐘","32 小時","https://pigfarmmix.net/png_h/9fc1edfa8a25ba821f32de73ee24d6907de827874d33d8400a273fbe122ac58920251013.png","米色 [圖鑑3 頁6#6]","≤ 133.3 kg","≥ 197.1 kg","6000 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"159","福爾摩豬","https://pigfarmmix.net/#/pig/159","https://pigfarmmix.net/png_h/8be2f4d59002263cd4f1136d1da44e8c7b3a74776e2e43918735df3a62c78b7f20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","4","60 分鐘","1 小時","20 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁6#4]","≤ 126.6 kg","≥ 183.4 kg","3000 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"160","太空豬","https://pigfarmmix.net/#/pig/160","https://pigfarmmix.net/png_h/258b0581f63a309a34b45d9bcbc8b99ac5081d24432954f1d96b42f069059ebd20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","10 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁6#5]","≤ 123.9 kg","≥ 168.6 kg","2500 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"161","武士豬","https://pigfarmmix.net/#/pig/161","https://pigfarmmix.net/png_h/54736e233b1ca7b76cf084668cca62e1807798d1df9af48192ee3e946d8103a620251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","5","120 分鐘","2 小時","32 小時","https://pigfarmmix.net/png_h/622c9a6a38bde7e1e6dd004676f9dc893ab49919c46ca7bf80d567971d0f8db620251013.png","特別 [圖鑑6 頁2#2]","≤ 132.5 kg","≥ 202.5 kg","9000 pt","https://pigfarmmix.net/png_h/8634aa677090b5bfca798d786e8ef2e14d04de87c2335c7e4a7052c45d83ddd120251013.png","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"162","亞佳佳瓦野豬","https://pigfarmmix.net/#/pig/162","https://pigfarmmix.net/png_h/31016ba1e8eeef65a87eb7961b534979eaf50887c98dad4dcac984d85525b30220251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","3","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/811992418c93eac5c6722e48989ba638bc739f8c763e8aa6fccb0cdb69e091ae20251013.png","野豬 [圖鑑6 頁2#3]","≤ 129.7 kg","≥ 185.0 kg","5000 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"163","純種豬","https://pigfarmmix.net/#/pig/163","https://pigfarmmix.net/png_h/74108022bd5cfd1fd24c51e837d257b9ca33aa56110869869699be7f13f9688e20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","6","120 分鐘","2 小時","32 小時","https://pigfarmmix.net/png_h/6255a0460a2afa50be02225be89dadd68b1167c8510dd8eda22e014c083c996c20251013.png","特別 [圖鑑6 頁2#4]","≤ 137.4 kg","≥ 206.1 kg","9500 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"164","婚禮豬","https://pigfarmmix.net/#/pig/164","https://pigfarmmix.net/png_h/fa85cd1d7b6539dd6a987912e3b5591ae3db6075663bd4d2870fdb561a9ca64a20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","6","120 分鐘","2 小時","32 小時","https://pigfarmmix.net/png_h/1633374fefedd5787d9c681d62865792ea3fef7bbfd6acf6f068441b9658f79a20251013.png","特別 [圖鑑6 頁2#5]","≤ 132.4 kg","≥ 197.1 kg","4000 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"165","新娘豬","https://pigfarmmix.net/#/pig/165","https://pigfarmmix.net/png_h/8b0f86a2d727e4bf7908eb8d966be8c9f9031a5529532023bf5288d606a922d420251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","6","120 分鐘","2 小時","32 小時","https://pigfarmmix.net/png_h/1633374fefedd5787d9c681d62865792ea3fef7bbfd6acf6f068441b9658f79a20251013.png","特別 [圖鑑6 頁2#6]","≤ 132.4 kg","≥ 197.1 kg","4000 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"166","豬豬醫生","https://pigfarmmix.net/#/pig/166","https://pigfarmmix.net/png_h/3cae488ac0901d23905ca54a5de24cee959409b639b18d60f34c27a787dd83ab20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","3","60 分鐘","1 小時","8 小時","https://pigfarmmix.net/png_h/a6752c7f9968b9961d0e91ae2083fce3f62ee7ac7f4c8d0a45c0a32bae70c8f620251013.png","肉色 [圖鑑1 頁6#6]","≤ 125.7 kg","≥ 159.6 kg","800 pt","","3.48%","","","",""
"181","可愛豬","https://pigfarmmix.net/#/pig/181","https://pigfarmmix.net/png_h/35a9d39a0428b52a75e3117646774528b543df93c58bf9d5df8578070dd80f6b20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","6","0 小時","58 分鐘","32 小時","https://pigfarmmix.net/png_h/aa4a79939b3c7f43fcec0d5a1011c3ae31219160e4b519fd96d7cd2a7c90544920251013.png","灰色 [圖鑑2 頁7#1]","≤ 133.4 kg","≥ 180.2 kg","8000 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"197","楓涇豬","https://pigfarmmix.net/#/pig/197","https://pigfarmmix.net/png_h/82ee3c808d655e9a90a2fd6fc63c64d79b437a45e54ae652c37a0d37974f26ff20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","4","120 分鐘","2 小時","24 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁7#2]","≤ 128.6 kg","≥ 155.3 kg","2500 pt","","2.67%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"198","本特海姆黑豬","https://pigfarmmix.net/#/pig/198","https://pigfarmmix.net/png_h/b188d7f8c1e15ffae94ec5d2987fc97102a6adbdde494e2e9c93cf762add767920251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","6","60 分鐘","1 小時","10 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁6#1]","≤ 133.4 kg","≥ 180.2 kg","8500 pt","","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"199","美國幾內亞豬","https://pigfarmmix.net/#/pig/199","https://pigfarmmix.net/png_h/0448a0ce10d67364bec988cc25941b0e2db6ed25d57ab3cdce5c91f2e9a8c06a20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","4","0 小時","58 分鐘","18 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁7#3]","≤ 130.6 kg","≥ 180.0 kg","5500 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"200","那加本土豬","https://pigfarmmix.net/#/pig/200","https://pigfarmmix.net/png_h/ca674262089deaf4149870a192091db5ebc5fad94013c4dd24613b16bb3aec4d20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","8 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁7#4]","≤ 125.9 kg","≥ 167.7 kg","3500 pt","","2.67%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"201","凱爾特豬","https://pigfarmmix.net/#/pig/201","https://pigfarmmix.net/png_h/fa77bee446f639447cea35b67f8a96b965f13a99ab4a682619c6de57f1ea781e20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","1","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁4#1]","≤ 128.2 kg","≥ 178.6 kg","5000 pt","https://pigfarmmix.net/png_h/0aeaee22846aee8ef0429da1face05360c1fdfd8de57e07bebb2741e67f15e6220251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"202","義大利蘭德萊斯豬","https://pigfarmmix.net/#/pig/202","https://pigfarmmix.net/png_h/2543b6f2bd98e17a97c71333c657d9b77f743730032dfcbd669378151a92a27420251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","10 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁6#2]","≤ 124.9 kg","≥ 164.4 kg","2000 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"203","昂格爾恩馬鞍豬","https://pigfarmmix.net/#/pig/203","https://pigfarmmix.net/png_h/94f7a4a15fa928bfccffb0da91112211d45007f1e3ab8f20f09a076099567f8c20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","4","0 小時","58 分鐘","14 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁7#5]","≤ 130.6 kg","≥ 177.3 kg","5000 pt","","1.15%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"204","鯊魚豬","https://pigfarmmix.net/#/pig/204","https://pigfarmmix.net/png_h/9924e1475dc1cff6c3ffbfd35bc179ca0e68244e03c82a9be3e708877c5d080220251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","4","0 小時","58 分鐘","12 小時","https://pigfarmmix.net/png_h/97cbaccfa405480612d3bf7e152c0f7f8d8507099b5839dfa19df61f5181feec20251013.png","灰色 [圖鑑2 頁7#6]","≤ 127.6 kg","≥ 165.5 kg","2000 pt","","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"205","豬尾花魁","https://pigfarmmix.net/#/pig/205","https://pigfarmmix.net/png_h/535e284777449272c04f67ae9c9691197f2beba74bb39f8b880be25c099cccd320251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","8","60 分鐘","1 小時","26 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁6#3]","≤ 143.5 kg","≥ 223.1 kg","9000 pt","https://pigfarmmix.net/png_h/1a4d96e5f723848dfbd2bbb08fd82f6579c3850dcc352a2b9ee260764acd522320251013.png","0.30%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png"
"206","南丁格爾豬","https://pigfarmmix.net/#/pig/206","https://pigfarmmix.net/png_h/2597b1bc3376ea187ef931804b63d73adb414d80a4f0a6566a773bc0fa6016ae20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","1","0 小時","58 分鐘","18 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁6#4]","≤ 126.2 kg","≥ 173.9 kg","3500 pt","https://pigfarmmix.net/png_h/ae37f6e04cdc1a9c13b5d505e598173fcce41b6af8074c98d775c0f1c6b04d6c20251013.png","2.67%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","",""
"207","織田信長豬","https://pigfarmmix.net/#/pig/207","https://pigfarmmix.net/png_h/1a0069bfa5e44d1b02867dba71748c90b8900ddfee9c1a935053132a9a2f514020251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","6","0 小時","58 分鐘","24 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁6#5]","≤ 136.5 kg","≥ 211.8 kg","6000 pt","https://pigfarmmix.net/png_h/1083a39a293067c36e6e25b013d3a87904536ffef5349212d9a97fae8ca2b74420251013.png","","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png",""
"208","泡芙豬","https://pigfarmmix.net/#/pig/208","https://pigfarmmix.net/png_h/3b869ff53e795336c97b20c9f7f930c1e972e969102488c2c46e6fe7b7ab63b020251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","3","0 小時","58 分鐘","12 小時","https://pigfarmmix.net/png_h/a68119aa8a6ceba07cf7cd15c2c4ea3a6f2a3313e58a78a2ec1216d15999fb8f20251013.png","白色 [圖鑑5 頁6#6]","≤ 125.7 kg","≥ 157.8 kg","1500 pt","","3.48%","","","",""
"209","番茄豬","https://pigfarmmix.net/#/pig/209","https://pigfarmmix.net/png_h/97306b6a8f313206aa85e8cabf3121e3e0aa08e2484276e261ccc0756ba19f1f20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","1","0 小時","58 分鐘","8 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁4#2]","≤ 123.9 kg","≥ 148.2 kg","1500 pt","https://pigfarmmix.net/png_h/a7c17665173739b203d7fab5046bd82964e973f62b1c34834f032ecb6c99fff520251013.png","3.48%","","","",""
"210","廚師豬","https://pigfarmmix.net/#/pig/210","https://pigfarmmix.net/png_h/5c99861941d6c895ce4d0dda51ae33b1968ce26f7a1614a9d465fcd9847151b720251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","16 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁4#3]","≤ 124.9 kg","≥ 167.7 kg","2500 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
"211","鬱金香豬","https://pigfarmmix.net/#/pig/211","https://pigfarmmix.net/png_h/8a1ed0706f504a7416eae205cf22cd90bee11f317aaf842c22f105692fb8786320251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","8 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁4#4]","≤ 123.9 kg","≥ 155.8 kg","1000 pt","","3.48%","","","",""
"212","消防員豬","https://pigfarmmix.net/#/pig/212","https://pigfarmmix.net/png_h/d565c40454fc62de42956ff8ce3b2fc86c19539efcf456589f28ff94efff0fbd20251013.png","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","不挑食","1","0 小時","58 分鐘","12 小時","https://pigfarmmix.net/png_h/46827eaf3344f3d5d59295ae2c237b7ef05252fa01f7f38bb1e57ac062d9c15520251013.png","粉紅 [圖鑑4 頁4#5]","≤ 124.9 kg","≥ 165.5 kg","2500 pt","","3.19%","https://pigfarmmix.net/png_h/03e3e13252adb926e796ced8fc43df1331408f8195521c86f8ec25da3105eb6720251013.png","","",""
